crime,year,on_campus,residential_facility,on_campus_total,non_campus_building_or_property,public_property
aggravated_assault,2022,0,0,0,0,1
aggravated_assault,2023,0,0,0,0,0
aggravated_assault,2024,1,4,5,0,0
arson,2022,0,0,0,0,0
arson,2023,0,0,0,0,0
arson,2024,0,0,0,0,0
burglary,2022,0,1,1,0,0
burglary,2023,0,0,0,0,0
burglary,2024,0,0,0,0,0
motor_vehicle_theft,2022,1,0,1,0,0
motor_vehicle_theft,2023,2,0,2,0,0
motor_vehicle_theft,2024,2,0,2,0,0
murder_non_manslaughter_by_negligence,2022,0,0,0,0,0
murder_non_manslaughter_by_negligence,2023,0,0,0,0,0
murder_non_manslaughter_by_negligence,2024,0,0,0,0,0
manslaughter_by_negligence,2022,0,0,0,0,0
manslaughter_by_negligence,2023,0,0,0,0,0
manslaughter_by_negligence,2024,0,0,0,0,0
robbery,2022,0,0,0,0,0
robbery,2023,0,0,0,0,0
robbery,2024,0,0,0,0,0
rape,2022,0,0,0,0,0
rape,2023,0,1,1,0,0
rape,2024,0,1,1,0,0
fondling,2022,0,0,0,0,0
fondling,2023,1,1,2,0,0
fondling,2024,1,0,1,0,0
incest,2022,0,0,0,0,0
incest,2023,0,0,0,0,0
incest,2024,0,0,0,0,0
statutory_rape,2022,0,0,0,0,0
statutory_rape,2023,0,0,0,0,0
statutory_rape,2024,0,0,0,0,0
arrests_drug_law_violations,2022,0,0,0,0,0
arrests_drug_law_violations,2023,0,0,0,0,0
arrests_drug_law_violations,2024,0,0,0,0,0
disciplinary_referrals_drug_law_violations,2022,0,29,29,0,0
disciplinary_referrals_drug_law_violations,2023,0,6,6,0,0
disciplinary_referrals_drug_law_violations,2024,4,0,4,0,0
arrests_liquor_law_violations,2022,0,1,1,0,0
arrests_liquor_law_violations,2023,0,0,0,0,0
arrests_liquor_law_violations,2024,0,0,0,0,0
disciplinary_referrals_liquor_law_violations,2022,0,3,3,0,0
disciplinary_referrals_liquor_law_violations,2023,0,18,18,0,0
disciplinary_referrals_liquor_law_violations,2024,1,40,41,0,0
arrests_illegal_weapon_possession,2022,0,0,0,0,0
arrests_illegal_weapon_possession,2023,0,1,1,0,0
arrests_illegal_weapon_possession,2024,0,0,0,0,0
disciplinary_referrals_illegal_weapon_possession,2022,0,0,0,0,0
disciplinary_referrals_illegal_weapon_possession,2023,0,0,0,0,0
disciplinary_referrals_illegal_weapon_possession,2024,0,1,1,0,0
domestic_violence,2022,0,0,0,0,0
domestic_violence,2023,0,0,0,0,0
domestic_violence,2024,0,0,0,0,0
dating_violence,2022,0,1,1,0,0
dating_violence,2023,0,1,1,0,0
dating_violence,2024,1,2,3,0,0
stalking,2022,2,0,2,0,0
stalking,2023,2,0,2,0,0
stalking,2024,3,0,3,0,0
unfounded_crimes,2022,0,0,0,0,0
unfounded_crimes,2023,0,0,0,0,0
unfounded_crimes,2024,0,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
